,preprocess,inference,postprocess
0,3.9997100830078125,180.93085289001465,3.191709518432617
0,2.000093460083008,199.2204189300537,0.9951591491699219
0,2.016782760620117,153.85174751281738,0.0
0,2.6009082794189453,160.77375411987305,0.9992122650146484
0,1.0213851928710938,156.64291381835938,0.99945068359375
0,2.0020008087158203,155.23171424865723,1.0235309600830078
0,1.2929439544677734,160.57133674621582,0.0
0,1.5048980712890625,160.05301475524902,0.0
0,0.99945068359375,157.48119354248047,0.9965896606445312
0,1.0006427764892578,169.8145866394043,0.0
0,2.004384994506836,166.49389266967773,0.0
0,2.0020008087158203,165.71497917175293,0.0
0,1.0001659393310547,168.47681999206543,0.99945068359375
0,2.5076866149902344,167.1121120452881,0.0
0,2.0189285278320312,157.85527229309082,1.0066032409667969
0,0.9968280792236328,162.40310668945312,0.6115436553955078
0,1.8625259399414062,171.51427268981934,0.9953975677490234
0,0.9992122650146484,161.2527370452881,1.0001659393310547
0,2.0313262939453125,150.7422924041748,0.9996891021728516
0,2.5446414947509766,163.21039199829102,1.0030269622802734
0,1.1532306671142578,157.6516628265381,0.0
0,1.043558120727539,166.23234748840332,0.9989738464355469
0,2.0058155059814453,160.97235679626465,0.0
0,3.0052661895751953,160.3548526763916,1.001119613647461
0,1.4910697937011719,161.6065502166748,0.9992122650146484
0,1.9989013671875,163.90752792358398,1.0035037994384766
0,0.9984970092773438,165.4067039489746,0.9977817535400391
0,4.142045974731445,163.44189643859863,1.0216236114501953
0,1.3134479522705078,153.167724609375,0.0
0,2.5289058685302734,154.7074317932129,0.9989738464355469
0,2.5148391723632812,176.56517028808594,0.0
0,1.9986629486083984,165.76361656188965,0.9996891021728516
0,4.011869430541992,162.13583946228027,0.9992122650146484
0,2.0062923431396484,158.2479476928711,1.016378402709961
0,2.639293670654297,173.1562614440918,0.0
0,1.0001659393310547,155.16948699951172,1.0039806365966797
0,2.0058155059814453,165.2987003326416,1.0006427764892578
0,0.9992122650146484,154.80613708496094,1.5375614166259766
0,2.001047134399414,162.2929573059082,0.995635986328125
0,2.997875213623047,157.51290321350098,1.001596450805664
0,0.9996891021728516,171.44203186035156,1.001119613647461
0,2.0904541015625,158.1277847290039,0.0
0,2.0008087158203125,151.02314949035645,0.9937286376953125
0,1.001596450805664,162.65344619750977,0.9980201721191406
0,2.009153366088867,168.9448356628418,0.9980201721191406
0,2.0020008087158203,178.3614158630371,0.99945068359375
0,2.000093460083008,155.9467315673828,1.001119613647461
0,2.025127410888672,164.0784740447998,1.6751289367675781
0,1.0004043579101562,157.57465362548828,0.9999275207519531
0,2.000570297241211,168.4277057647705,0.9992122650146484
0,8.158683776855469,171.64158821105957,0.99945068359375
0,1.0004043579101562,171.5247631072998,0.9984970092773438
0,0.9996891021728516,181.8552017211914,0.9980201721191406
0,2.0036697387695312,175.48656463623047,0.9996891021728516
0,2.005338668823242,173.95973205566406,0.9996891021728516
0,1.9991397857666016,162.52493858337402,0.9968280792236328
0,3.0188560485839844,164.1254425048828,1.024484634399414
0,0.9999275207519531,163.90514373779297,0.9980201721191406
0,1.9953250885009766,165.91978073120117,0.9834766387939453
0,1.997232437133789,160.49480438232422,0.0
0,2.000570297241211,156.8901538848877,0.5292892456054688
0,4.000186920166016,155.686616897583,1.0004043579101562
0,1.9989013671875,162.28890419006348,0.0
0,2.023935317993164,168.198823928833,0.9801387786865234
0,2.077341079711914,176.23448371887207,0.0
0,1.0745525360107422,162.66632080078125,1.0013580322265625
0,3.401041030883789,152.97842025756836,0.9984970092773438
0,1.9991397857666016,185.66346168518066,0.9992122650146484
0,2.1657943725585938,198.7285614013672,0.0
0,2.9985904693603516,167.680025100708,0.0
0,2.0682811737060547,174.6821403503418,0.9944438934326172
0,1.9974708557128906,162.7039909362793,1.0008811950683594
0,1.9977092742919922,163.15293312072754,0.0
0,2.99072265625,187.60991096496582,0.9989738464355469
0,2.001047134399414,204.53739166259766,0.9996891021728516
0,2.008199691772461,160.51220893859863,1.0030269622802734
0,1.9996166229248047,157.65643119812012,0.9992122650146484
0,2.001047134399414,148.6978530883789,1.0008811950683594
0,2.0210742950439453,171.18382453918457,1.0852813720703125
